SrIH g
jatru gl
madaH ll
suKam lg
strI gg
nArI m
mfgI r
kanyA mg vA
paNktiH Bgg vA
tanumaDyA ty vA
vidyulleKA mm vA
SaSivadanA ny vA
somarAjI yy vA
vasumatI ts vA
kumAralalitA jsg vA
madaleKA msg vA
maDumatI nng vA
citrapadA BBgg vA
gajagatiH nBlg vA
narAcaH trlg vA
pramARikA jrlg vA
mARavakam Btlg vA
vidyunmAlA mmgg vA
viBA trgg vA
samAnikA rjgl
haMsarutam mngg vA
vitAnam jtgg vA
halamuKI rns vA
BujagaSiSuBftA nnm vA
BujaNgasaNgatA sjr vA
maRimaDyam Bms vA
SudDavirAw msjg vA
paRava mnyg vA
mayUrasAriRI rjrg vA
rukmavatI Bmsg vA
twaritagati njng vA
mattA mBsg vA
manoramA nrjg vA
upasTitA tjjg vA
indravajrA ttjgg vA
upendravajrA jtjgg vA
sumuKI njjlg vA
doDakam BBBgg vA
BramaravilasitA mBnlg vA
raTodDatA rnrlg vA
vAtormI mBtgg vA
SAlinI mttgg vA
svAgatA rnBgg vA
vftA nnsgg vA
BadrikA nnrlg vA
SyenikA rjrlg vA
mOktikamAlA Btngg vA
upasTitam jstgg vA
SiKaRqitam jsrgg vA
agarim nnnll
antarvanitA msmgg vA
apayoDA srmgg vA
amandapAdaH Bsjgg vA
mowanakam tjjlg vA
layagrAhI tttgg vA
sAriRI jsylg,sjylg vA
vilAsinI jrjgg vA
aBihitA tnnlg vA
udyatA tnrlg vA
utTApanI tBjlg vA
asuvilAsah ntnlg vA
damanakam nnngg vA
kupuruzajanitA nnrgg vA
damanakam nnnlg vA
kamaladalAkzI nynlg vA
anavasitA nyBgg vA
anavasitA nysgg vA
rAjahaMsI nrrlg vA
aSokA nsngg vA
rocakam BBrgg vA
guRANgI mtjgg vA
pInaSreRih mBsgg vA
ekarUpam msjgg vA
raYjitA rjslg vA
acyutam rsslg vA
aparAntikA sBrlg vA
vimalA smnlg vA
upacitram ssslg vA
candravartma rnBs vA
vaMSasTA jtjr vA
indravaMSA ttjr vA
towakam ssss vA
drutavilambitam nBBr vA
puwaH nnmy vA
pramuditavadanA nnrr vA
kusumavicitrA nyny vA
jalodDatagatiH jsjs vA
BujaNgaprayAtam yyyy vA
sragviRI rrrr vA
priyamvadA nBjr vA
maRimAlA tyty vA
lalitA tBjr vA
mOktikadAma jjjj vA
viBavarI jrjr vA
pramitAkzarA sjss vA
ujvalA nnBr vA
vESvadevI mmyy vA
jalaDaramAlA mBsm vA
navamAlinI njBy vA
praBA nnrr vA
mAlatI njjr vA
tAmarasam njjy vA
smftiH jBsy vA
haMsAKyam jrBr vA
kolaH jssy vA
kAmAvatAraH tttt vA
SrutiH tBsy vA
vAhinI tymy vA
kamalalocanA nnjs vA
taralanayanA nnnn
lalitam nnmr vA
kAmadattA nnry vA
muKaraH nBjy vA
matA nrnr vA
meGAvalI nrrr vA
lalanA Btns vA
BAminI BBBB vA
jalamAlA BBms vA
kAntotpIqA Bmsm vA
lalitA Bmss vA
puRwarIkam mBry vA
kAYcanam mmmm vA
vikrAntA mmms vA
